"City","Hits"
"Robertsfors Ö",NA
"Rockhampton",NA
"Rodnikovyy",NA
"Rodriguez",NA
"Rohtak",NA
"Rome",NA
"Roorkee",NA
"Rovt pod Menino",NA
"Rowland Heights",NA
"Roxbury Township",NA
"Roșiorii de Vede",NA
"Sabratah",NA
"Sachaca District",NA
"Sahilkent Belediyesi",NA
"Saint Paul",NA
"Saint-Jérôme",NA
"Saint-Prix",NA
"Sala Dan",NA
"Sala Klang",NA
"Salam",NA
"Salaya",NA
"Salles-Curan",NA
"Salzburg",NA
"Samarinda",NA
"Samarskoye",NA
"Sambalpur",NA
"Samie Town",NA
"San Antonio District",NA
"San Borja",NA
"San Diego",NA
"San Fernando",NA
"San Jose del Monte City",NA
"San José",NA
"San Juan",NA
"San Luis District",NA
"San Miguel",NA
"San Pablo City",NA
"San Pedro",NA
"San Vicente de Cañete District",NA
"Sangatiya Walakhur",NA
"Santa Ana",NA
"Santa Josefa",NA
"Santa Maria",NA
"Santa María District",NA
"Santa Rita do Sapucaí",NA
"Santa Rosa",NA
"Santa Rosa District",NA
"Santiago de Cuba",NA
"Santo Tomas",NA
"Sarpsborg",NA
"Savannah",NA
"Sawahlunto",NA
"Schofield Barracks",NA
"Schwedt",NA
"Schwäbisch Hall",NA
"Schönegg",NA
"Schübelbach",NA
"Science City of Muñoz",NA
"Sedbergh",NA
"Semenyih",NA
"Senai",NA
"Seri Kembangan",NA
"Serrekunda",NA
"Severodvinsk",NA
"Shah Alam",NA
"Sheffield",NA
"Sheringham",NA
"Shillong",NA
"Shimanovsk",NA
"Shimla",NA
"Shwebo",NA
"Sicuani",NA
"Simpang",NA
"Sitiawan",NA
"Skalica",NA
"Skopje",NA
"Slatina",NA
"Slavgorod",NA
"Slavonski Brod",NA
"Slawi",NA
"Smederevo",NA
"Socabaya District",NA
"Sokal",NA
"Sokol",NA
"Solna",NA
"Solohubivka",NA
"Solyanka",NA
"Sombor",NA
"Sorsogon City",NA
"South Bend",NA
"Southgate",NA
"Spring Hill",NA
"Sremska Mitrovica",NA
"Staffanstorp",NA
"Stamford",NA
"Stanisław Dolny",NA
"Stara Zagora",NA
"Stargard",NA
"Stockholm",NA
"Stoughton",NA
"Stroudsburg",NA
"Stryi",NA
"Strängnäs",NA
"Subang",NA
"Subang Jaya",NA
"Sucre",NA
"Sukaraja",NA
"Sumbersuko",NA
"Sungai Petani",NA
"Sur",NA
"Surabaya",NA
"Surigao City",NA
"Surquillo",NA
"Surrey",NA
"Sutton Scotney",NA
"Sydney",NA
"Syktyvkar",NA
"Sylhet",NA
"Szekszárd",NA
"Szombathely",NA
"São João das Lampas",NA
"São Mateus do Sul",NA
"Sölvesborg",NA
"Taastrup",NA
"Tacurong City",NA
"Taganrog",NA
"Tagaytay",NA
"Tagbilaran City",NA
"Tagkawayan",NA
"Tagum City",NA
"Tala",NA
"Talcahuano",NA
"Talisay City",NA
"Tallahassee",NA
"Tamworth",NA
"Tangub City",NA
"Tanjung Bungah",NA
"Tarakan",NA
"Tarlac City",NA
"Tarma",NA
"Tarutyne",NA
"Taufkirchen",NA
"Taunggyi",NA
"Taytay",NA
"Tehran",NA
"Telgte",NA
"Teluk Ambon",NA
"Tema",NA
"Tempe",NA
"Teningen",NA
"Ternopil",NA
"Tessenderlo",NA
"Thanlyin",NA
"Thessaloniki",NA
"Thimphu",NA
"Thompson",NA
"Tianguá",NA
"Timbó",NA
"Timișoara",NA
"Tingley",NA
"Tinley Park",NA
"Toledo City",NA
"Tomohon",NA
"Toronto",NA
"Torquay",NA
"Torrance",NA
"Trece Martires",NA
"Trier",NA
"Três Lagoas",NA
"Tsetserleg",NA
"Tucson",NA
"Tuguegarao City",NA
"Tulcan",NA
"Tulcea",NA
"Tulungagung",NA
"Tuszyn",NA
"Tver",NA
"Tyler",NA
"Tyumen",NA
"Târgu Mureș",NA
"Uglich",NA
"Ujjain",NA
"Ulu Tiram",NA
"Umm Salal Muhammed",NA
"Umuarama",NA
"Unalaska",NA
"Union City",NA
"University Park",NA
"Uralsk",NA
"Ussuriysk",NA
"Uyo",NA
"Vairano Patenora",NA
"Valdosta",NA
"Valea Lupului",NA
"Valencia City",NA
"Valenzuela",NA
"Valley Park",NA
"Vangaži",NA
"Varberg",NA
"Varna",NA
"Veenendaal",NA
"Veldhoven",NA
"Veles",NA
"Veliko Tarnovo",NA
"Venda Nova do Imigrante",NA
"Veria",NA
"Vichuga",NA
"Victor",NA
"Victor Harbor - Goolwa",NA
"Victorville",NA
"Vientiane",NA
"Vijayawada",NA
"Vilar do Monte",NA
"Villa el Salvador",NA
"Villupuram",NA
"Vladimir",NA
"Volketswil",NA
"Vologda",NA
"Vozrozhdeniye",NA
"Vyshhorod",NA
"Vänersborg",NA
"Vöhringen",NA
"Waconia",NA
"Wah",NA
"Waltham",NA
"Wanhua District",NA
"Warri",NA
"Warsaw",NA
"Washington",NA
"Watlington",NA
"Wayland",NA
"Waynesville",NA
"Weilerswist",NA
"West Lafayette",NA
"West Little River",NA
"West Palm Beach",NA
"Westminster",NA
"Whitemarsh Island",NA
"Wickersley",NA
"Williamson",NA
"Winchester",NA
"Windsor",NA
"Winnenden",NA
"Withcott",NA
"Woburn",NA
"Wrentham",NA
"Würselen",NA
"Xàtiva",NA
"Yakum",NA
"Yauli",NA
"Yerevan",NA
"Yeysk",NA
"Yingge District",NA
"Yongkang District",NA
"York",NA
"Yura",NA
"Zamboanga",NA
"Zaventem",NA
"Zelenodolsk",NA
"Zhanaozen",NA
"Zhytomyr",NA
"Zug",NA
"Zugdidi",NA
"tp. Phủ Lý",NA
"tx. Sơn Tây",NA
"Żelazno",NA
